# Nodes
1,352,1042
2,315,1020
3,1408,695
4,178,408
5,208,1144
6,1243,1181
7,279,1126
8,80,75
9,991,1335
10,170,220
11,391,55
12,990,1436
13,937,1210
14,429,515
15,1374,339
16,647,1425
17,85,1150
18,1149,627
19,1435,905
20,396,1040
21,1340,1194
22,660,1311
23,1223,1232
24,321,539
25,670,1433
26,1037,748
27,534,461
28,560,1421
29,936,813
30,1104,1355
31,1386,1127
32,772,1129
33,492,430
34,1023,278
35,1438,1335
36,1211,1354
37,925,594
38,1247,315
39,598,1026
40,630,876
# Edges
1,2,36
1,4,73
1,5,49
1,7,28
1,9,74
1,10,45
1,11,27
1,12,18
1,13,51
1,14,78
1,15,80
1,16,16
1,17,11
1,18,59
1,19,48
1,20,4
1,21,81
1,22,99
1,23,24
1,24,47
1,25,83
1,26,11
1,27,38
1,28,1
1,29,53
1,31,89
1,32,18
1,33,89
1,34,95
1,35,34
1,36,14
1,37,33
1,38,73
1,39,27
1,40,23
2,1,74
2,3,5
2,4,93
2,7,9
2,8,77
2,9,82
2,10,30
2,11,52
2,13,82
2,14,43
2,15,18
2,16,39
2,17,85
2,19,17
2,20,21
2,21,99
2,22,18
2,23,43
2,24,69
2,25,54
2,26,71
2,27,4
2,29,57
2,30,40
2,31,13
2,32,28
2,33,5
2,34,71
2,35,100
2,36,38
2,39,50
3,1,30
3,2,49
3,5,71
3,6,42
3,7,54
3,8,88
3,9,82
3,11,88
3,12,44
3,13,93
3,14,45
3,15,71
3,16,43
3,18,25
3,20,87
3,21,13
3,22,81
3,23,94
3,24,44
3,25,71
3,26,65
3,27,71
3,28,94
3,30,41
3,31,92
3,32,19
3,33,52
3,36,37
3,37,26
3,38,37
3,39,2
3,40,21
4,1,84
4,2,53
4,3,21
4,6,58
4,7,5
4,8,90
4,9,40
4,10,20
4,11,79
4,12,95
4,14,44
4,15,14
4,16,6
4,17,50
4,18,85
4,19,8
4,20,68
4,21,34
4,22,61
4,23,36
4,24,23
4,25,48
4,26,81
4,27,34
4,28,29
4,30,19
4,33,11
4,34,70
4,35,28
4,37,39
4,38,57
4,39,6
5,1,12
5,3,11
5,6,86
5,7,11
5,8,63
5,10,100
5,11,85
5,12,28
5,13,65
5,14,42
5,16,32
5,18,57
5,19,41
5,20,90
5,21,62
5,22,69
5,24,69
5,25,66
5,27,83
5,28,16
5,30,69
5,31,80
5,33,90
5,34,42
5,35,38
5,36,11
5,37,65
5,39,73
5,40,20
6,1,33
6,2,36
6,3,97
6,4,100
6,5,32
6,7,75
6,8,26
6,10,82
6,11,66
6,12,43
6,13,68
6,14,92
6,15,29
6,16,5
6,17,84
6,18,75
6,19,5
6,20,46
6,21,16
6,22,53
6,23,18
6,24,6
6,25,37
6,26,73
6,27,6
6,30,23
6,31,12
6,32,52
6,33,50
6,34,42
6,35,12
6,36,84
6,37,82
6,38,56
6,39,7
6,40,94
7,1,56
7,2,84
7,3,36
7,4,82
7,5,13
7,6,59
7,8,36
7,9,69
7,10,49
7,11,35
7,12,35
7,13,15
7,14,81
7,15,19
7,17,52
7,18,10
7,20,100
7,21,10
7,23,47
7,24,65
7,25,66
7,26,19
7,27,56
7,28,89
7,30,19
7,31,3
7,33,54
7,34,23
7,35,89
7,36,80
7,37,89
7,38,77
7,39,45
7,40,20
8,2,40
8,3,50
8,5,60
8,6,24
8,7,64
8,9,55
8,10,76
8,11,48
8,12,54
8,13,91
8,14,79
8,16,95
8,17,26
8,19,46
8,20,30
8,21,12
8,22,30
8,23,40
8,24,58
8,25,76
8,26,40
8,27,87
8,28,34
8,29,23
8,31,31
8,32,51
8,34,55
8,35,74
8,36,6
8,39,52
8,40,49
9,1,4
9,2,39
9,3,28
9,4,66
9,5,95
9,6,55
9,7,17
9,8,42
9,10,37
9,11,75
9,13,50
9,14,94
9,15,71
9,17,8
9,18,57
9,19,34
9,21,80
9,22,2
9,23,58
9,24,16
9,25,36
9,26,83
9,28,82
9,29,93
9,30,8
9,31,98
9,32,33
9,33,19
9,34,58
9,35,30
9,36,28
9,37,29
9,38,100
10,1,13
10,2,70
10,3,68
10,4,47
10,6,70
10,7,81
10,8,27
10,9,49
10,11,45
10,12,49
10,13,77
10,14,33
10,15,80
10,16,17
10,17,23
10,18,74
10,19,14
10,20,9
10,22,53
10,23,65
10,24,59
10,25,81
10,27,100
10,28,90
10,29,9
10,30,19
10,31,13
10,33,16
10,34,31
10,35,22
10,36,21
10,37,52
10,38,41
10,39,65
10,40,27
11,1,74
11,5,23
11,6,23
11,7,56
11,8,5
11,9,50
11,10,69
11,14,78
11,15,31
11,16,59
11,17,25
11,18,6
11,19,84
11,21,34
11,22,58
11,23,13
11,24,59
11,25,24
11,26,13
11,27,65
11,28,99
11,29,73
11,30,93
11,31,75
11,32,88
11,33,86
